cluster,latitude,longitude
39,28.485014336448597,-81.23958290654205
45,28.419273213114753,-81.2221870819672
463,28.67537592063492,-81.55687044444446
426,28.71013523809524,-81.54915897619045
358,28.354035460000006,-81.25395622
458,28.591672999999997,-81.57585092682926
298,28.374202075630254,-81.26112103361345
127,28.361773035087715,-81.26497438596489
46,28.426107599999998,-81.2146084
391,28.370130464000002,-81.637948632
32,28.545383877551018,-81.24566040816327
405,28.721599571428573,-81.53809164835165
199,28.437962021739143,-81.65010239130434
477,28.369811470588235,-81.65129309803922
88,28.369720407407403,-81.34581077777777
14,28.54492373846154,-81.15401475384614
2,28.600209393939394,-81.09894606060605
60,28.44208552,-81.2124618
367,28.41002672826087,-81.6437996847826
33,28.58626367857143,-81.222725
403,28.376235652631582,-81.65391025263158
133,28.46745663157895,-81.57552184210526
285,28.3572608,-81.23399524999999
156,28.471914305263155,-81.64614025263157
243,28.43887005000001,-81.61388045000001
26,28.495172982142858,-81.28938960714287
374,28.354342333333335,-81.24711873809525
363,28.388919678571433,-81.64977289285714
154,28.48039573529412,-81.63356197058823
425,28.70430643243243,-81.54948610810811
150,28.36807925,-81.2700925625
385,28.400535260869564,-81.63697547826088
34,28.482729460674157,-81.23052647191011
93,28.39096731578947,-81.35329015789472
400,28.715077789473685,-81.52025939473684
177,28.443241444444443,-81.48188466666667
178,28.404577529411764,-81.50328588235296
71,28.56888514864865,-81.4112970945946
459,28.667786727272723,-81.55228761363637
161,28.46385129213483,-81.63569411235954
377,28.41095075,-81.65610587500001
41,28.512135809523816,-81.37020547619048
151,28.36902476470588,-81.27062247058822
15,28.558523617021276,-81.17833519148937
276,28.70254613636364,-81.46148113636364
40,28.492825904761908,-81.39166323809525
155,28.475466368421046,-81.6366282631579
129,28.471567999999998,-81.24466766666667
267,28.35538473913044,-81.2315177826087
271,28.420945208333336,-81.620450875
149,28.434348999999997,-81.5604488125
435,28.81251209243698,-81.64042642857144
443,28.4020890960452,-81.67382447457626
216,28.5172825,-81.66832577184466
304,28.772858734447542,-81.94805316248838
350,28.466055964365257,-81.70307136748329
437,28.808803253623186,-81.59668778985507
297,28.590195658333336,-81.78564593333334
310,28.596014166666663,-81.73560417948718
309,28.612984890207716,-81.71966556083086
224,28.78119999999999,-81.7547
203,28.85750033333333,-81.79609496244133
251,28.820532448275863,-81.83033817241378
469,28.609586922018345,-81.79353627064219
407,28.831445932432434,-81.6248426891892
504,28.759679042944786,-81.92947530061349
530,28.75253654166666,-81.91952363333333
479,28.52995344444444,-81.69664749382716
132,28.77389298956158,-81.8955299645094
471,28.49557032352941,-81.70884510661764
249,28.888463464285717,-81.92204900000002
349,28.4585357890625,-81.7160618359375
414,28.58812019148936,-81.7194174255319
415,28.859363522727268,-81.6401449090909
333,28.389469538461533,-81.65975273076923
239,28.746595921875,-81.86938793750001
264,28.812957890909093,-81.53068221818181
342,28.399333078125,-81.6620837421875
382,28.587652590163938,-81.73754171311477
329,28.578675956521742,-81.71830055072465
275,28.625121175824177,-81.72774876923077
413,28.584040972727273,-81.71442840909091
279,28.836700684210527,-81.56268535087719
317,28.570611641891894,-81.7170146554054
412,28.584852590909097,-81.70176072727274
536,28.76219303125,-81.93309971874999
138,28.58969418222222,-81.89677446222223
543,28.76619402797203,-81.94329413986016
444,28.392858484496124,-81.68373172093023
282,28.849136711111107,-81.9101933111111
283,28.84652495652174,-81.93066391304349
491,28.54053913793104,-81.69234925287356
381,28.578025518518515,-81.80572830555556
263,28.584701666666668,-81.67522877777779
278,28.834618691860463,-81.5550020116279
490,28.53787557723577,-81.69943477642275
434,28.786820705882352,-81.63938247058823
204,28.78958957777778,-81.76463386666666
214,28.754165774193545,-81.85740770967743
7,28.709534259259257,-81.77652859259258
319,28.40999068852459,-81.68390615573772
69,28.923945073170728,-81.86495053658537
544,28.764101259259263,-81.94127456790123
334,28.38197720168067,-81.6667799579832
